0.455,0.365,0.095,0.514,0.2245,0.101,0.15,-0.63,0.77,1.0
0.53,0.42,0.135,0.677,0.2565,0.142,0.21,0.52,-0.88,1.0
0.35,0.265,0.09,0.226,0.0995,0.0485,0.07,-1.25,0.33,1.0
0.625,0.485,0.15,1.234,0.5285,0.2165,0.37,1.48,-0.15,1.0
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,-0.67,0.69,1.0
0.55,0.44,0.15,0.894,0.3635,0.1765,0.295,0.76,-0.51,1.0
0.395,0.315,0.105,0.393,0.1675,0.081,0.135,-0.94,0.11,1.0
0.58,0.47,0.165,0.995,0.4265,0.1875,0.315,0.98,-0.33,1.0
0.49,0.38,0.135,0.621,0.2565,0.133,0.195,-0.35,0.28,1.0
0.6,0.475,0.205,1.176,0.5095,0.216,0.385,1.31,-0.21,1.0
